Date,Value,temp
8/17/2018,764625,14.9
8/18/2018,679002,17.7
8/19/2018,676512,19.1
8/20/2018,765544,18.8
8/21/2018,771175,19.7
8/22/2018,771620,18
8/23/2018,764735,15.1
8/24/2018,743001,13.1
8/25/2018,677887,12.5
8/26/2018,683497,12.6
8/27/2018,639544,14.3
8/28/2018,756407,15.1
8/29/2018,769924,15
8/30/2018,775676,12.4
8/31/2018,759297,14.1
9/1/2018,701883,16
9/2/2018,685213,18.4
9/3/2018,751991,16.4
9/4/2018,754141,14.5
9/5/2018,766939,14.9
9/6/2018,767408,12.9
9/7/2018,751426,11.4
9/8/2018,701669,12.7
9/9/2018,666162,16.5
9/10/2018,747484,15.4
9/11/2018,745306,16.2
9/12/2018,783703,12.7
9/13/2018,753391,12.1
9/14/2018,748897,13.7
9/15/2018,726412,14.3
9/16/2018,650068,15.9
9/17/2018,762809,18.1
9/18/2018,747498,17.5
9/19/2018,747883,17.7
9/20/2018,782689,15.2
9/21/2018,739931,11.4
9/22/2018,725216,10.5
9/23/2018,745328,10
9/24/2018,812218,8.6
9/25/2018,833262,9.3
9/26/2018,805267,13.7
9/27/2018,808502,15.6
9/28/2018,799121,11.7
9/29/2018,721309,8.9
9/30/2018,729935,9.3
10/1/2018,817602,9.5
10/2/2018,761860,12.8
10/3/2018,817014,13.7
10/4/2018,798532,13.6
10/5/2018,806670,14.7
10/6/2018,750126,8.6
10/7/2018,748279,7.5
10/8/2018,800374,10.5
10/9/2018,778157,14.4
10/10/2018,831565,15.2
10/11/2018,798448,16.3
10/12/2018,786927,15
10/13/2018,700316,18.5
10/14/2018,735175,11.1
10/15/2018,814994,10.1
10/16/2018,816733,13.1
10/17/2018,799480,13
10/18/2018,833094,9.3
10/19/2018,804272,8.8
10/20/2018,762812,10.8
10/21/2018,737770,12.7
10/22/2018,818185,8.5
10/23/2018,815767,10.3
10/24/2018,800392,11.8
10/25/2018,815316,9
10/26/2018,814309,8.1
10/27/2018,801418,3.3
10/28/2018,832373,5.9
10/29/2018,900471,3.7
10/30/2018,896027,3.7
10/31/2018,885801,5.4
11/1/2018,912474,7.2
11/2/2018,888944,6.2
11/3/2018,778853,9.1
11/4/2018,790831,11.1
11/5/2018,853515,10.3
11/6/2018,870999,11.6
11/7/2018,870109,12.2
11/8/2018,875220,8.7
11/9/2018,890742,9.6
11/10/2018,803980,10.1
11/11/2018,811116,9.5
11/12/2018,848084,10.5
11/13/2018,875452,10
11/14/2018,870742,11.6
11/15/2018,887206,10.9
11/16/2018,887787,10.9
11/17/2018,832970,8.8
11/18/2018,826645,7.4
11/19/2018,872377,6.6
11/20/2018,900883,5.1
11/21/2018,899789,4.1
11/22/2018,929860,1.6
11/23/2018,891092,3.9
11/24/2018,872096,6.4
11/25/2018,871581,5.9
11/26/2018,921137,5.5
11/27/2018,939124,6.5
11/28/2018,945816,8.3
11/29/2018,906574,11.6
11/30/2018,864446,8.2
12/1/2018,848331,8.7
12/2/2018,793775,10.8
12/3/2018,874348,9.7
12/4/2018,957677,3.9
12/5/2018,963864,6.7
12/6/2018,927028,9.6
12/7/2018,894676,9.8
12/8/2018,826518,8.2
12/9/2018,836216,8.5
12/10/2018,943752,6.8
12/11/2018,971374,5.9
12/12/2018,900713,5.1
12/13/2018,948321,3.1
12/14/2018,876487,0.8
12/15/2018,790540,3.1
12/16/2018,897739,4.4
12/17/2018,961343,6.8
12/18/2018,939637,6.9
12/19/2018,967189,6.5
12/20/2018,951664,7.7
12/21/2018,902797,7.9
12/22/2018,819871,8.3
12/23/2018,817759,7.6
12/24/2018,841053,4.4
12/25/2018,781964,4.4
12/26/2018,740820,6.8
12/27/2018,811712,7.2
12/28/2018,824686,7.8
12/29/2018,769967,9.6
12/30/2018,765320,8
12/31/2018,775311,8.7
1/1/2019,812308,8
1/2/2019,894391,1.8
1/3/2019,938740,1.8
1/4/2019,957362,0.9
1/5/2019,898242,2.6
1/6/2019,849506,6.3
1/7/2019,899634,8.4
1/8/2019,925077,6.6
1/9/2019,964435,2.6
1/10/2019,938605,3.4
1/11/2019,931411,4.9
1/12/2019,854906,7.4
1/13/2019,820888,9.3
1/14/2019,928488,7.3
1/15/2019,925167,6.1
1/16/2019,927281,7.2
1/17/2019,959852,2.7
1/18/2019,998359,1.3
1/19/2019,915195,2.5
